votes,margin2020,fips,results_trumpd,results_bidenj
41964,48.03403,21029,30708,10551
6125,63.37959,21031,4960,1078
6436,53.96209,21033,4905,1432
17443,31.85805,21035,11351,5794
48833,18.65337,21037,28482,19373
2638,64.29113,21039,2159,463
4135,44.44982,21041,2954,1116
11585,52.93915,21043,8775,2642
7180,73.27298,21045,6179,918
23863,28.42895,21047,15080,8296
18128,32.03332,21049,11811,6004
7590,77.0224,21051,6677,831
4932,74.55393,21053,4280,603
4242,64.1207,21055,3451,731
3309,68.3288,21057,2769,508
49240,27.90414,21059,31023,17283
6131,58.7343,21061,4828,1227
2995,51.2187,21063,2246,712
6538,57.28051,21065,5100,1355
152664,-20.77831,21067,58845,90566
7066,57.45825,21069,5534,1474
16381,51.01032,21071,12211,3855
26059,0.95936,21073,12900,12650
2421,33.62247,21075,1605,791
3849,55.41699,21077,2955,822
8703,56.57819,21079,6754,1830
11106,58.70701,21081,8725,2205
17018,56.68704,21083,13206,3559
11983,58.85838,21085,9453,2400
5812,67.41225,21087,4838,920
18176,45.06492,21089,13064,4873
4587,39.11053,21091,3145,1351
48941,23.96968,21093,29832,18101
10971,71.76192,21095,9367,1494
8853,44.43691,21097,6334,2400
8369,53.01709,21099,6345,1908
20688,24.60847,21101,12730,7639
8107,45.65191,21103,5843,2142
2199,57.11687,21105,1714,458
21509,47.97062,21107,15757,5439
6116,79.21844,21109,5450,605
386093,-20.11666,21111,150619,228288
26251,32.49019,21113,17096,8567
10193,67.09507,21115,8446,1607
82184,19.29573,21117,48123,32265
6251,53.86338,21119,4779,1412
13279,67.01559,21121,11010,2111
7301,57.26613,21123,5685,1504
28097,66.76869,21125,23234,4474
6955,63.19195,21127,5633,1238
2659,63.93381,21129,2159,459
4814,80.43207,21131,4318,446
9135,59.40887,21133,7226,1799
5883,70.76322,21135,4986,823
10913,57.13369,21137,8489,2254
5003,61.38317,21139,4010,939
12346,48.38004,21141,9067,3094
4228,47.4929,21143,3100,1092
43903,26.81594,21151,27353,15580
5446,54.37018,21153,4174,1213
8928,37.98163,21155,6113,2722
17601,52.41748,21157,13297,4071
3930,78.70229,21159,3496,403
7958,39.143,21161,5477,2362
33521,31.71146,21145,21820,11190
6435,76.75214,21147,5664,725
4782,53.51317,21149,3633,1074
14110,46.43515,21163,10184,3632
3102,50.32237,21165,2311,750
11735,46.63826,21167,8506,3033
5014,59.51336,21169,3957,973
5330,74.50281,21171,4628,657
12837,41.77767,21173,8993,3630
5535,56.4589,21175,4297,1172
14229,48.85797,21177,10496,3544
23245,36.63153,21179,15703,7188
3396,42.78563,21181,2407,954
11127,55.5226,21183,8582,2404
37936,21.47564,21185,22651,14504
5456,58.54106,21187,4292,1098
1895,76.72823,21189,1670,216
6925,60.54874,21191,5515,1322
10606,54.38431,21193,8118,2350
25368,60.77342,21195,20279,4862
5505,48.57402,21197,4041,1367
31537,62.71047,21199,25441,5664
1146,55.06108,21201,884,253
7783,69.93447,21203,6577,1134
10058,21.0181,21205,5994,3880
8939,69.10169,21207,7506,1329
28950,24.87047,21209,17764,10564
23542,29.64064,21211,15054,8076
8732,36.72698,21213,5888,2681
11429,54.30921,21215,8737,2530
12510,51.27898,21217,9376,2961
5351,53.41058,21219,4060,1202
7375,50.11525,21221,5487,1791
4319,51.28502,21223,3227,1012
6576,52.25061,21225,4965,1529
55351,16.82535,21227,31790,22477
6223,45.60501,21229,4482,1644
9240,62.01299,21231,7430,1700
5991,51.64413,21233,4506,1412
15347,65.25705,21235,12567,2552
2981,42.2677,21237,2097,837
15211,12.04392,21239,8362,6530
28425,60.34477,22001,22596,5443
9810,55.71865,22003,7574,2108
62325,32.55195,22005,40687,20399
11235,30.6008,22007,7271,3833
17292,40.76452,22009,12028,4979
16357,67.45124,22011,13575,2542
7050,11.68794,22013,3891,3067
54655,41.00631,22015,38074,15662
104912,-6.75709,22017,48021,55110
82663,35.18382,22019,55066,25982
4762,67.84964,22021,3976,745
4039,82.86705,22023,3671,324
4858,46.76822,22025,3541,1269
6580,15.79027,22027,3770,2731
8828,26.88038,22029,5550,3177
14736,24.8032,22031,9112,5457
208182,-13.04484,22033,88420,115577
3036,-27.00922,22035,1080,1900
10509,16.97593,22037,6064,4280
15412,44.73787,22039,11053,4158
9720,44.36214,22041,6970,2658
9392,74.10562,22043,8117,1157
32713,31.25363,22045,21251,11027
16719,-3.71434,22047,7893,8514
7632,42.59696,22049,5394,2143
14841,55.35341,22053,11423,3208
193733,11.0833,22051,105949,84477
7077,81.10781,22059,6378,638
114521,28.67072,22055,72519,39685
45388,60.26262,22057,36024,8672
19275,19.46563,22061,11311,7559
65230,69.94941,22063,54877,9249
4670,-15.50321,22065,1930,2654
11574,13.51305,22067,6510,4946
16554,14.87254,22069,9358,6896
177819,-68.15357,22071,26664,147854
69166,23.62722,22073,42255,25913
11014,36.29926,22075,7412,3414
12371,22.79525,22077,7503,4683
58865,32.0598,22079,38347,19475
4132,18.61084,22081,2413,1644
9940,34.02414,22083,6607,3225
